DOC105,2024-11-19,00:30-01:00
DOC105,2024-11-19,01:00-01:30
DOC105,2024-11-19,01:30-02:00
DOC105,2024-11-19,02:00-02:30
DOC105,2024-11-19,02:30-03:00
DOC105,2024-11-19,03:00-03:30
DOC105,2024-11-19,03:30-04:00
DOC105,2024-11-19,04:00-04:30
DOC105,2024-11-19,04:30-05:00
DOC105,2024-11-19,05:00-05:30
DOC105,2024-11-19,05:30-06:00
DOC105,2024-11-19,06:00-06:30
DOC105,2024-11-19,06:30-07:00
DOC105,2024-11-19,07:00-07:30
DOC105,2024-11-19,07:30-08:00
DOC105,2024-11-19,08:00-08:30
DOC105,2024-11-19,08:30-09:00
DOC105,2024-11-19,09:00-09:30
DOC105,2024-11-19,09:30-10:00
DOC105,2024-11-19,10:00-10:30
DOC105,2024-11-19,10:30-11:00
DOC105,2024-11-19,11:00-11:30
DOC105,2024-11-19,11:30-12:00
DOC105,2024-11-19,12:00-12:30
DOC105,2024-11-19,12:30-13:00
DOC105,2024-11-19,13:00-13:30
DOC105,2024-11-19,13:30-14:00
DOC105,2024-11-19,14:00-14:30
DOC105,2024-11-19,14:30-15:00
DOC105,2024-11-19,15:00-15:30
DOC105,2024-11-19,15:30-16:00
DOC105,2024-11-19,16:00-16:30
DOC105,2024-11-19,16:30-17:00
DOC105,2024-11-19,17:00-17:30
DOC105,2024-11-19,17:30-18:00
DOC105,2024-11-19,18:00-18:30
DOC105,2024-11-19,18:30-19:00
DOC105,2024-11-19,19:00-19:30
DOC105,2024-11-19,19:30-20:00
DOC105,2024-11-19,20:00-20:30
DOC105,2024-11-19,20:30-21:00
DOC105,2024-11-19,21:00-21:30
DOC105,2024-11-19,21:30-22:00
DOC105,2024-11-19,22:00-22:30
DOC105,2024-11-19,22:30-23:00
DOC105,2024-11-19,23:00-23:30
DOC105,2024-11-19,23:30-00:00
DOC105,2024-11-19,00:00-00:30
